,TEMP_MAX,TEMP_MIN,PRECIP
1991-07-15,18.10,6.55,1.52
1991-07-16,17.74,10.05,17.27
1991-07-17,20.48,9.37,0.19
1991-07-18,21.53,3.84,0.00
1991-07-19,23.24,8.18,0.00
1991-07-20,23.32,4.08,0.91
1991-07-21,24.71,11.53,0.00
1991-07-22,27.43,5.12,0.00
1991-07-23,31.15,5.82,0.00
1991-07-24,31.88,9.31,3.19
1991-07-25,26.29,13.79,0.05
1991-07-26,23.92,5.07,0.00
1991-07-27,23.55,10.77,0.00
1991-07-28,26.24,8.85,0.00
1991-07-29,23.71,8.43,0.00
1991-07-30,25.95,3.00,0.00
1991-07-31,28.45,5.38,0.61
1991-08-01,27.15,10.14,0.00
1991-08-02,28.62,5.35,0.00
1991-08-03,30.74,6.30,0.00
1991-08-04,32.00,7.07,0.02
1991-08-05,27.85,10.92,0.00
1991-08-06,25.50,7.80,8.13
1991-08-07,26.80,12.18,0.00
1991-08-08,29.93,10.60,0.00
1991-08-09,29.93,9.51,4.04
1991-08-10,22.28,8.05,21.34
1991-08-11,18.28,8.30,7.77
1991-08-12,16.84,8.65,5.52
1991-08-13,19.81,9.69,5.71
1991-08-14,22.71,7.89,0.00
1991-08-15,28.12,7.12,0.00
1991-08-16,29.35,7.55,0.00
1991-08-17,28.15,9.15,0.00
1991-08-18,30.19,9.20,0.00
1991-08-19,30.28,7.45,0.00
1991-08-20,30.94,8.66,0.00
1991-08-21,30.57,8.70,0.00
1991-08-22,30.25,6.57,0.02
1991-08-23,25.61,9.33,0.00
1991-08-24,23.78,5.50,0.00
1991-08-25,21.49,4.28,0.00
1991-08-26,18.35,1.45,5.24
1991-08-27,16.55,8.79,2.13
1991-08-28,17.11,7.08,1.52
1991-08-29,16.97,9.84,0.43
1991-08-30,26.87,5.49,0.41
1991-08-31,23.57,10.43,6.59
1991-09-01,22.04,5.16,0.03
1991-09-02,19.18,1.17,0.00
1991-09-03,21.29,2.08,0.00
1991-09-04,25.48,0.42,0.00
1991-09-05,27.58,2.09,0.00
1991-09-06,27.95,3.66,0.00
1991-09-07,22.21,6.98,0.00
1991-09-08,18.39,4.39,0.00
1991-09-09,22.40,1.44,0.00
1991-09-10,22.81,0.70,0.00
1991-09-11,25.11,1.18,0.00
1991-09-12,26.28,3.51,0.07
1991-09-13,14.08,6.56,0.06
1991-09-14,19.59,0.19,0.00
1991-09-15,22.36,0.70,0.00
1991-09-16,22.01,5.25,0.00
1991-09-17,23.06,1.43,0.00
1991-09-18,25.18,4.67,0.00
1991-09-19,27.36,1.31,0.00
1991-09-20,20.18,1.99,0.00
1991-09-21,14.71,-1.96,0.00
1991-09-22,14.40,-5.12,0.18
1991-09-23,19.96,4.79,0.00
1991-09-24,21.98,4.91,0.00
1991-09-25,26.05,0.84,0.00
1991-09-26,27.55,1.96,0.00
1991-09-27,27.26,1.52,0.00
1991-09-28,23.24,2.86,0.00
1991-09-29,21.25,-0.13,0.00
1991-09-30,23.04,0.78,0.00
1991-10-01,20.74,4.29,0.00
1991-10-02,17.89,-0.56,0.00
1991-10-03,14.95,-4.67,0.00
1991-10-04,16.13,-7.00,0.00
1991-10-05,19.10,-5.97,0.00
1991-10-06,21.68,-4.08,0.06
1991-10-07,17.97,-2.69,0.00
1991-10-08,15.45,-2.27,0.00
1991-10-09,20.02,-1.13,0.00
1991-10-10,23.90,-1.52,0.00
1991-10-11,24.64,-1.72,0.01
1991-10-12,16.64,1.33,0.23
1991-10-13,18.21,-4.64,0.00
1991-10-14,21.48,-1.67,0.00
1991-10-15,24.47,-1.97,0.00
1991-10-16,17.56,2.08,1.63
1991-10-17,7.92,-1.96,0.00
1991-10-18,11.88,-8.72,0.00
1991-10-19,15.64,-3.00,0.00
1991-10-20,16.00,-3.60,0.00
1991-10-21,13.45,5.14,1.04
1991-10-22,5.47,-2.79,0.00
1991-10-23,4.80,-5.62,0.41
1991-10-24,1.02,-2.52,6.12
1991-10-25,2.90,-1.37,0.22
1991-10-26,2.05,-6.43,0.47
1991-10-27,-2.45,-6.80,0.00
1991-10-28,-3.44,-17.90,0.00
1991-10-29,-1.43,-16.39,0.00
1991-10-30,-2.80,-14.54,0.00
1991-10-31,2.32,-5.06,0.00
1991-11-01,1.37,-5.60,0.00
1991-11-02,-0.61,-12.33,0.00
1991-11-03,0.85,-10.90,3.90
1991-11-04,1.17,-3.54,10.40
1991-11-05,2.06,-1.37,2.50
1991-11-06,5.23,-0.81,0.94
1991-11-07,2.36,-1.21,2.74
1991-11-08,5.16,0.49,0.07
1991-11-09,3.36,1.32,1.45
1991-11-10,5.04,0.76,0.86
1991-11-11,6.39,0.73,0.93
1991-11-12,7.63,-2.11,3.22
1991-11-13,5.29,-4.43,0.10
1991-11-14,4.59,-5.94,0.00
1991-11-15,1.44,-8.25,0.00
1991-11-16,3.66,-2.64,6.04
1991-11-17,5.15,-0.89,1.71
1991-11-18,3.81,-1.97,1.45
1991-11-19,2.34,-2.03,5.84
1991-11-20,3.35,-0.71,0.61
1991-11-21,0.85,-5.53,0.00
1991-11-22,0.26,-7.11,0.38
1991-11-23,-1.45,-8.38,0.98
1991-11-24,-0.22,-3.53,1.26
1991-11-25,1.73,-1.63,1.51
1991-11-26,0.90,-2.25,5.60
1991-11-27,2.47,-3.57,0.86
1991-11-28,1.05,-6.17,1.88
1991-11-29,-1.26,-6.76,0.47
1991-11-30,-2.70,-11.31,2.29
1991-12-01,1.52,-7.75,1.47
1991-12-02,1.23,-5.96,3.12
1991-12-03,0.73,-3.73,2.22
1991-12-04,2.99,-2.14,0.66
1991-12-05,4.69,-1.45,1.14
1991-12-06,1.42,-2.26,2.55
1991-12-07,0.88,-5.06,2.12
1991-12-08,1.70,-6.09,0.40
1991-12-09,4.96,-6.24,0.00
1991-12-10,-0.85,-9.98,1.71
1991-12-11,-0.66,-6.49,4.77
1991-12-12,0.22,-8.09,3.61
1991-12-13,-1.47,-15.63,1.02
1991-12-14,-3.28,-12.99,0.00
1991-12-15,-4.02,-12.29,0.00
1991-12-16,-5.04,-15.61,0.00
1991-12-17,-6.26,-15.07,0.00
1991-12-18,-3.98,-10.93,1.79
1991-12-19,-1.39,-10.57,0.00
1991-12-20,-0.64,-11.86,0.00
1991-12-21,-0.13,-5.46,0.00
1991-12-22,-0.27,-5.86,0.00
1991-12-23,0.39,-4.05,0.27
1991-12-24,1.15,-2.94,0.04
1991-12-25,1.08,-2.86,0.00
1991-12-26,1.52,-3.75,0.00
1991-12-27,2.29,-3.21,0.00
1991-12-28,-1.14,-9.09,0.14
1991-12-29,-0.53,-9.88,0.00
1991-12-30,-0.15,-7.16,0.02
1991-12-31,1.71,-3.17,0.10
1992-01-01,1.90,-1.41,0.57
1992-01-02,2.83,-7.61,0.23
1992-01-03,-2.43,-8.43,3.75
1992-01-04,0.04,-3.96,2.24
1992-01-05,-0.25,-5.40,7.86
1992-01-06,-2.57,-6.67,0.66
1992-01-07,-4.60,-10.20,0.00
1992-01-08,-1.98,-11.14,3.13
1992-01-09,-2.31,-7.28,0.36
1992-01-10,0.13,-4.36,3.21
1992-01-11,1.36,-5.17,0.11
1992-01-12,-3.37,-13.22,1.67
1992-01-13,-1.09,-8.19,0.18
1992-01-14,1.02,-7.18,0.09
1992-01-15,0.29,-7.05,1.84
1992-01-16,1.32,-7.98,0.01
1992-01-17,-0.41,-12.49,0.00
1992-01-18,-3.33,-11.66,0.00
1992-01-19,-0.39,-6.00,0.00
1992-01-20,-1.89,-10.20,0.55
1992-01-21,-1.47,-6.14,0.91
1992-01-22,-1.93,-12.12,9.74
1992-01-23,1.63,-4.17,1.12
1992-01-24,4.59,-2.20,0.32
1992-01-25,3.89,-1.42,2.03
1992-01-26,1.97,-4.48,0.69
1992-01-27,5.47,-1.78,2.37
1992-01-28,4.14,0.94,3.04
1992-01-29,5.22,-2.97,0.83
1992-01-30,7.30,0.75,1.29
1992-01-31,8.29,1.13,0.30
1992-02-01,6.53,-0.03,1.10
1992-02-02,4.77,-1.78,0.14
1992-02-03,7.66,-4.23,0.00
1992-02-04,2.98,-7.94,0.00
1992-02-05,4.76,-9.12,0.00
1992-02-06,3.09,-9.80,0.00
1992-02-07,3.84,-9.26,3.24
1992-02-08,0.34,-5.92,0.63
1992-02-09,1.51,-2.09,0.38
1992-02-10,2.80,-1.11,0.46
1992-02-11,4.08,-0.40,0.51
1992-02-12,4.61,-0.26,2.06
1992-02-13,4.83,0.03,0.15
1992-02-14,4.30,0.38,0.00
1992-02-15,3.15,-2.03,1.87
1992-02-16,4.11,-6.42,0.00
1992-02-17,0.81,-6.17,4.43
1992-02-18,1.04,-2.57,4.00
1992-02-19,2.15,-8.98,3.96
1992-02-20,0.42,-9.53,1.36
1992-02-21,3.91,-2.67,1.14
1992-02-22,6.52,-1.67,1.88
1992-02-23,3.24,-8.16,1.42
1992-02-24,4.69,-1.62,0.01
1992-02-25,10.65,0.37,0.00
1992-02-26,9.25,-1.64,0.00
1992-02-27,8.27,-0.67,0.00
1992-02-28,8.23,-1.28,0.00
1992-02-29,6.91,0.09,1.27
1992-03-01,7.94,0.15,4.00
1992-03-02,8.63,1.05,0.20
1992-03-03,4.50,-3.94,1.24
1992-03-04,5.70,0.09,0.09
1992-03-05,11.40,-2.05,0.21
1992-03-06,10.02,-1.92,0.00
1992-03-07,8.22,-2.56,0.00
1992-03-08,10.10,-5.52,0.00
1992-03-09,13.20,-6.20,0.00
1992-03-10,14.75,-4.86,0.00
1992-03-11,16.13,-4.00,0.00
1992-03-12,16.09,-3.69,0.00
1992-03-13,17.03,-3.30,0.00
1992-03-14,18.18,-2.52,0.00
1992-03-15,13.90,-2.46,0.55
1992-03-16,10.16,1.58,2.25
1992-03-17,10.47,2.19,1.71
1992-03-18,9.69,0.12,0.00
1992-03-19,10.19,-4.10,0.00
1992-03-20,10.41,-5.23,0.00
1992-03-21,13.29,-6.50,0.00
1992-03-22,11.49,-2.09,0.00
1992-03-23,15.23,-5.39,0.00
1992-03-24,14.44,-3.29,0.00
1992-03-25,12.97,-0.93,0.00
1992-03-26,12.82,-0.50,2.06
1992-03-27,9.54,1.75,0.11
1992-03-28,6.89,-9.51,0.00
1992-03-29,11.77,-8.69,0.00
1992-03-30,17.19,-5.55,0.00
1992-03-31,19.69,-2.54,0.00
1992-04-01,20.58,-1.79,0.00
1992-04-02,21.05,-1.00,0.00
1992-04-03,12.45,2.15,0.00
1992-04-04,8.88,-0.96,0.96
1992-04-05,6.01,-4.18,1.99
1992-04-06,6.83,-4.38,0.00
1992-04-07,7.18,-8.69,0.00
1992-04-08,9.69,-9.43,0.00
1992-04-09,9.55,-5.61,0.00
1992-04-10,9.47,-5.95,0.00
1992-04-11,9.88,-7.11,0.00
1992-04-12,14.37,-0.27,2.43
1992-04-13,8.65,2.97,9.74
1992-04-14,12.69,1.47,0.23
1992-04-15,15.07,-0.54,0.04
1992-04-16,11.61,3.28,11.45
1992-04-17,10.94,2.77,4.99
1992-04-18,11.37,2.30,0.14
1992-04-19,15.29,-2.94,0.00
1992-04-20,15.12,2.93,0.00
1992-04-21,12.24,-1.91,2.46
1992-04-22,8.66,0.78,2.45
1992-04-23,9.82,-1.77,0.00
1992-04-24,13.68,-3.60,0.00
1992-04-25,18.26,-1.53,0.00
1992-04-26,19.41,3.20,0.09
1992-04-27,16.95,3.88,0.29
1992-04-28,17.03,1.73,0.34
1992-04-29,16.04,6.50,3.67
1992-04-30,12.86,5.17,0.00
1992-05-01,15.86,-0.22,0.00
1992-05-02,17.38,1.71,0.00
1992-05-03,23.55,-1.56,0.00
1992-05-04,26.60,1.17,0.00
1992-05-05,28.46,2.55,0.00
1992-05-06,29.00,3.72,0.01
1992-05-07,26.53,5.18,0.01
1992-05-08,17.23,6.19,0.89
1992-05-09,12.26,-2.02,1.89
1992-05-10,11.64,1.52,0.79
1992-05-11,9.90,-2.06,1.30
1992-05-12,12.99,-3.78,0.10
1992-05-13,18.61,-4.74,0.00
1992-05-14,21.91,-1.73,0.00
1992-05-15,15.94,-1.04,0.00
1992-05-16,22.15,-1.52,0.00
1992-05-17,25.66,-1.13,0.00
1992-05-18,21.59,3.89,2.26
1992-05-19,19.49,2.56,0.80
1992-05-20,10.22,5.47,2.67
1992-05-21,14.48,-1.88,0.00
1992-05-22,17.30,-2.35,0.00
1992-05-23,21.95,7.14,0.00
1992-05-24,26.71,1.86,0.00
1992-05-25,30.37,4.62,9.03
1992-05-26,19.54,11.76,1.48
1992-05-27,20.42,3.43,0.01
1992-05-28,21.03,1.69,1.17
1992-05-29,18.77,5.36,0.89
1992-05-30,22.52,3.38,0.00
1992-05-31,26.98,3.57,0.00
1992-06-01,26.35,7.35,0.07
1992-06-02,20.43,4.10,0.01
1992-06-03,21.43,-1.42,0.00
1992-06-04,19.31,2.94,0.00
1992-06-05,23.09,1.48,0.00
1992-06-06,25.73,1.46,0.00
1992-06-07,25.10,5.06,0.00
1992-06-08,26.26,4.07,0.00
1992-06-09,24.27,7.57,0.59
1992-06-10,23.32,1.66,0.00
1992-06-11,24.70,4.00,0.09
1992-06-12,20.20,10.33,31.42
1992-06-13,14.61,9.57,10.04
1992-06-14,18.91,7.48,0.16
1992-06-15,23.85,8.17,0.00
1992-06-16,22.91,9.67,0.00
1992-06-17,24.60,6.21,0.00
1992-06-18,27.48,5.22,0.00
1992-06-19,29.13,6.36,0.00
1992-06-20,28.52,9.64,0.00
1992-06-21,29.97,7.80,0.00
1992-06-22,33.00,8.73,0.00
1992-06-23,32.96,8.20,0.00
1992-06-24,33.16,12.27,0.00
1992-06-25,33.69,8.21,0.00
1992-06-26,32.08,8.98,0.00
1992-06-27,30.26,9.53,8.25
1992-06-28,29.06,10.15,31.42
1992-06-29,17.61,12.06,9.60
1992-06-30,19.14,8.38,1.16
1992-07-01,17.35,9.91,3.81
1992-07-02,18.92,7.36,4.71
1992-07-03,19.47,9.72,1.41
1992-07-04,23.11,7.11,14.22
1992-07-05,17.85,9.82,5.00
1992-07-06,16.01,9.97,1.21
1992-07-07,21.60,11.84,3.18
1992-07-08,20.62,7.79,0.10
1992-07-09,22.95,5.98,0.00
1992-07-10,21.32,9.29,2.74
1992-07-11,23.17,7.12,1.66
1992-07-12,22.72,5.44,0.09
1992-07-13,22.82,6.37,0.03
1992-07-14,20.76,6.61,1.48
1992-07-15,23.51,2.50,0.00
1992-07-16,28.43,3.90,0.00
1992-07-17,30.45,6.94,0.00
1992-07-18,29.78,7.06,0.00
1992-07-19,30.36,6.02,27.74
1992-07-20,24.09,12.28,0.73
1992-07-21,23.27,9.23,19.78
1992-07-22,21.60,10.27,14.78
1992-07-23,17.45,11.39,6.63
1992-07-24,23.74,10.30,0.00
1992-07-25,26.85,6.96,0.00
1992-07-26,25.98,9.75,0.00
1992-07-27,25.67,5.75,0.00
1992-07-28,27.32,6.79,0.31
1992-07-29,27.96,6.27,0.00
1992-07-30,31.66,12.79,0.00
1992-07-31,33.77,8.44,0.00
1992-08-01,33.44,8.76,0.00
1992-08-02,31.00,8.19,0.06
1992-08-03,29.48,7.93,0.00
1992-08-04,29.71,7.79,0.04
1992-08-05,27.69,10.80,0.00
1992-08-06,16.55,6.18,8.85
1992-08-07,19.32,9.57,1.54
1992-08-08,18.75,6.50,2.23
1992-08-09,21.44,5.12,0.00
1992-08-10,25.39,5.12,0.00
1992-08-11,30.37,5.17,0.00
1992-08-12,30.45,7.40,0.50
1992-08-13,30.46,12.64,0.69
1992-08-14,34.57,9.69,0.00
1992-08-15,29.93,5.16,0.00
1992-08-16,29.80,5.96,0.00
1992-08-17,32.17,5.38,0.00
1992-08-18,31.83,6.80,0.63
1992-08-19,26.13,5.35,0.00
1992-08-20,25.27,5.68,0.00
1992-08-21,22.97,3.33,5.87
1992-08-22,14.58,6.11,6.80
1992-08-23,14.70,3.30,0.53
1992-08-24,19.13,1.80,0.00
1992-08-25,23.73,0.91,0.00
1992-08-26,23.82,4.43,0.04
1992-08-27,24.06,7.74,0.32
1992-08-28,18.80,3.00,0.00
1992-08-29,20.62,-2.21,0.00
1992-08-30,22.73,1.35,0.19
1992-08-31,24.07,5.83,0.00
1992-09-01,24.34,4.29,0.00
1992-09-02,25.00,3.21,0.00
1992-09-03,23.07,4.09,0.96
1992-09-04,16.01,5.95,0.82
1992-09-05,12.62,-0.40,0.20
1992-09-06,11.49,-3.12,0.14
1992-09-07,14.36,-5.01,5.11
1992-09-08,16.85,3.53,0.15
1992-09-09,21.45,-2.29,0.00
1992-09-10,21.47,4.50,0.00
1992-09-11,22.96,0.08,0.97
1992-09-12,16.40,5.05,1.32
1992-09-13,11.55,0.00,0.07
1992-09-14,13.03,-2.89,0.00
1992-09-15,12.38,-3.76,0.03
1992-09-16,12.80,-6.88,0.00
1992-09-17,15.66,-3.32,0.02
1992-09-18,17.10,-5.11,0.00
1992-09-19,20.42,3.59,1.95
1992-09-20,22.75,7.38,0.04
1992-09-21,24.53,0.23,0.00
1992-09-22,25.69,0.41,0.00
1992-09-23,23.69,4.34,3.45
1992-09-24,14.86,7.11,1.97
1992-09-25,13.88,4.66,0.23
1992-09-26,17.31,0.23,0.32
1992-09-27,16.86,-4.81,0.00
1992-09-28,18.15,-1.98,0.00
1992-09-29,21.03,-2.92,0.00
1992-09-30,23.60,2.12,0.00
1992-10-01,21.82,1.48,0.37
1992-10-02,24.17,2.75,0.00
1992-10-03,19.73,6.43,0.03
1992-10-04,16.71,1.55,0.00
1992-10-05,14.25,-5.06,0.00
1992-10-06,13.68,-7.57,0.00
1992-10-07,9.64,-8.84,0.00
1992-10-08,15.55,3.29,0.01
1992-10-09,16.01,-0.99,0.00
1992-10-10,18.62,-1.38,0.00
1992-10-11,17.31,-1.84,0.37
1992-10-12,15.46,4.00,0.44
1992-10-13,10.26,-5.52,6.04
1992-10-14,4.84,-5.22,8.55
1992-10-15,5.82,-6.11,0.00
1992-10-16,3.00,-5.32,0.00
1992-10-17,7.20,-3.34,0.38
1992-10-18,13.23,0.63,1.17
1992-10-19,8.05,1.03,0.99
1992-10-20,15.04,2.95,0.33
1992-10-21,12.78,5.41,2.44
1992-10-22,12.45,3.12,0.39
1992-10-23,17.38,3.74,0.00
1992-10-24,14.03,2.56,0.16
1992-10-25,11.54,-4.26,0.00
1992-10-26,10.65,-3.54,0.00
1992-10-27,8.84,-7.11,0.00
1992-10-28,4.93,-7.26,2.34
1992-10-29,6.13,0.65,1.02
1992-10-30,6.85,2.63,4.44
1992-10-31,8.36,2.04,1.22
1992-11-01,9.67,-0.01,0.30
1992-11-02,7.93,0.26,0.00
1992-11-03,7.78,-5.34,6.17
1992-11-04,4.40,0.01,1.09
1992-11-05,3.11,-0.22,0.52
1992-11-06,2.65,0.45,6.27
1992-11-07,3.67,0.31,5.59
1992-11-08,4.48,-0.04,0.09
1992-11-09,2.30,-3.36,0.00
1992-11-10,0.38,-7.33,2.54
1992-11-11,3.93,-2.73,0.05
1992-11-12,1.71,-2.40,0.00
1992-11-13,3.24,-0.24,0.00
1992-11-14,3.78,0.63,0.00
1992-11-15,4.15,1.48,2.13
1992-11-16,3.07,0.06,5.01
1992-11-17,3.16,0.47,2.11
1992-11-18,3.42,0.32,4.21
1992-11-19,2.53,-0.73,4.86
1992-11-20,1.92,-5.19,4.93
1992-11-21,0.08,-3.44,7.89
1992-11-22,0.24,-4.67,0.31
1992-11-23,-0.84,-12.38,0.00
1992-11-24,-4.13,-13.49,0.00
1992-11-25,-3.91,-9.20,0.00
1992-11-26,-3.83,-9.77,2.14
1992-11-27,-3.37,-7.77,8.53
1992-11-28,0.33,-10.12,0.00
1992-11-29,-1.74,-11.13,0.12
1992-11-30,-0.11,-5.88,1.65
1992-12-01,-1.12,-14.03,0.02
1992-12-02,-1.50,-16.60,0.10
1992-12-03,-3.86,-16.89,0.00
1992-12-04,-6.52,-18.79,0.00
1992-12-05,-8.01,-18.35,0.00
1992-12-06,-8.31,-20.79,0.84
1992-12-07,-5.01,-15.34,3.64
1992-12-08,-3.17,-11.82,3.61
1992-12-09,-1.48,-10.12,1.02
1992-12-10,-4.84,-12.39,3.16
