Run   obj.function   par_pet_correction  par_hbv_beta  par_max_perc_rate  par_baseflow_coeff  par_forest_coverage  par_melt_factor  par_refreeze_factor  
18    -2.665230E-02  1.212561E+00  2.365503E+00  2.382341E+01  7.788046E-01  6.501756E-01  2.184132E+00  1.828172E+00  
19    -2.665230E-02  1.212561E+00  2.784919E+00  2.398850E+01  6.750771E-01  5.853750E-01  2.184132E+00  1.463205E+00  
20    -2.665230E-02  1.212561E+00  3.221343E+00  2.398850E+01  6.750771E-01  5.853750E-01  2.184132E+00  1.463205E+00  
21    -2.665230E-02  1.212561E+00  3.123896E+00  2.486751E+01  6.151915E-01  5.744457E-01  2.184132E+00  1.463205E+00  
22    -2.665230E-02  1.212561E+00  3.279692E+00  2.486751E+01  6.151915E-01  4.507440E-01  2.184132E+00  1.463205E+00  
23    -2.665230E-02  1.155598E+00  3.279692E+00  2.214226E+01  7.145525E-01  4.507440E-01  1.824540E+00  1.463205E+00  
24    -2.665230E-02  1.200533E+00  3.515055E+00  2.214226E+01  7.933088E-01  4.507440E-01  1.824540E+00  1.463205E+00  
25    -2.665230E-02  1.151186E+00  3.372901E+00  1.935176E+01  7.933088E-01  4.507440E-01  1.715020E+00  1.906503E+00  
26    -2.665230E-02  1.151186E+00  3.372901E+00  1.935176E+01  7.933088E-01  4.507440E-01  2.634264E+00  2.466892E+00  
27    -2.665230E-02  1.171958E+00  3.617795E+00  1.935176E+01  7.933088E-01  4.507440E-01  2.634264E+00  3.259844E+00  
28    -2.665230E-02  1.171958E+00  3.617795E+00  1.935176E+01  7.933088E-01  4.507440E-01  2.634264E+00  2.859389E+00  
29    -2.665230E-02  1.171958E+00  3.617795E+00  1.994078E+01  7.933088E-01  4.507440E-01  2.634264E+00  2.859389E+00  
30    -2.665230E-02  1.171958E+00  3.817100E+00  1.827269E+01  7.269481E-01  4.507440E-01  2.711607E+00  2.859389E+00  
31    -2.665230E-02  1.021341E+00  3.817100E+00  1.827269E+01  7.269481E-01  4.507440E-01  2.711607E+00  2.859389E+00  
32    -2.665230E-02  9.205908E-01  3.817100E+00  1.827269E+01  7.269481E-01  4.507440E-01  2.711607E+00  2.859389E+00  
33    -2.665230E-02  8.469401E-01  3.817100E+00  2.438470E+01  7.269481E-01  4.507440E-01  2.711607E+00  2.859389E+00  
34    -2.665230E-02  7.456022E-01  3.817100E+00  2.438470E+01  7.338954E-01  4.507440E-01  2.711607E+00  2.859389E+00  
35    -2.665230E-02  7.456022E-01  3.817100E+00  2.438470E+01  6.827124E-01  4.507440E-01  2.711607E+00  2.859389E+00  
36    -2.665230E-02  9.337476E-01  3.817100E+00  2.222918E+01  6.827124E-01  3.782864E-01  2.843157E+00  2.859389E+00  
37    -2.665230E-02  9.337476E-01  3.817100E+00  2.222918E+01  6.827124E-01  3.251807E-01  2.880191E+00  2.859389E+00  
38    -2.665230E-02  9.337476E-01  3.817100E+00  2.332864E+01  6.827124E-01  4.619956E-01  2.880191E+00  2.521726E+00  
39    -2.665230E-02  9.337476E-01  3.528288E+00  2.332864E+01  6.827124E-01  4.619956E-01  2.880191E+00  2.521726E+00  
40    -2.665230E-02  9.337476E-01  3.783889E+00  2.332864E+01  6.696344E-01  2.905395E-01  2.880191E+00  2.521726E+00  
41    -2.665230E-02  9.430558E-01  3.783889E+00  2.472084E+01  6.696344E-01  2.905395E-01  2.880191E+00  2.521726E+00  
42    -2.665230E-02  9.430558E-01  3.935774E+00  2.472084E+01  6.696344E-01  2.905395E-01  2.880191E+00  2.521726E+00  
43    -2.665230E-02  1.029774E+00  3.684979E+00  2.472084E+01  6.696344E-01  3.889438E-01  2.880191E+00  2.521726E+00  
44    -2.665230E-02  1.029774E+00  3.684979E+00  2.472084E+01  6.696344E-01  3.889438E-01  2.880191E+00  2.805725E+00  
45    -2.665230E-02  1.029774E+00  3.684979E+00  2.260755E+01  6.696344E-01  3.889438E-01  2.880191E+00  3.198224E+00  
46    -2.665230E-02  1.029774E+00  3.279368E+00  2.260755E+01  6.696344E-01  3.209420E-01  2.880191E+00  3.198224E+00  
47    -2.665230E-02  1.029774E+00  3.279368E+00  2.260755E+01  6.696344E-01  3.209420E-01  2.880191E+00  3.329446E+00  
48    -2.665230E-02  9.601549E-01  3.279368E+00  2.221331E+01  6.696344E-01  2.758788E-01  2.880191E+00  3.329446E+00  
49    -2.665230E-02  9.601549E-01  3.279368E+00  1.835493E+01  6.696344E-01  2.758788E-01  2.880191E+00  3.329446E+00  
50    -2.665230E-02  9.601549E-01  3.279368E+00  1.835493E+01  5.641685E-01  2.484761E-01  2.880191E+00  3.329446E+00  
51    -2.665230E-02  7.431013E-01  3.279368E+00  1.835493E+01  5.641685E-01  2.484761E-01  2.880191E+00  3.329446E+00  
52    -2.665230E-02  7.431013E-01  3.725528E+00  1.835493E+01  5.641685E-01  2.484761E-01  2.880191E+00  3.329446E+00  
53    -2.665230E-02  7.882419E-01  3.725528E+00  1.708852E+01  5.641685E-01  2.484761E-01  2.301881E+00  3.329446E+00  
54    -2.665230E-02  7.882419E-01  3.725528E+00  1.708852E+01  5.641685E-01  3.432924E-01  2.301881E+00  3.329446E+00  
55    -2.665230E-02  7.882419E-01  3.717438E+00  1.708852E+01  5.641685E-01  3.432924E-01  2.301881E+00  3.329446E+00  
56    -2.665230E-02  7.882419E-01  3.717438E+00  1.708852E+01  4.223150E-01  3.432924E-01  2.301881E+00  3.329446E+00  
57    -2.665230E-02  7.882419E-01  3.717438E+00  1.708852E+01  2.665695E-01  3.432924E-01  2.301881E+00  3.329446E+00  
58    -2.665230E-02  7.882419E-01  3.717438E+00  1.708852E+01  2.665695E-01  3.432924E-01  1.772072E+00  3.329446E+00  
59    -2.665230E-02  7.882419E-01  3.717438E+00  1.708852E+01  3.213168E-01  3.432924E-01  1.772072E+00  3.329446E+00  
60    -2.665230E-02  7.882419E-01  3.717438E+00  1.708852E+01  3.775405E-01  3.432924E-01  1.772072E+00  3.329446E+00  
61    -2.665230E-02  7.882419E-01  3.717438E+00  1.708852E+01  3.775405E-01  2.302273E-01  1.772072E+00  3.329446E+00  
62    -2.665230E-02  7.882419E-01  3.717438E+00  1.662177E+01  3.775405E-01  2.302273E-01  1.772072E+00  3.329446E+00  
63    -2.665230E-02  7.882419E-01  3.717438E+00  1.662177E+01  3.775405E-01  2.302273E-01  1.534098E+00  3.329446E+00  
64    -2.665230E-02  7.882419E-01  3.717438E+00  1.662177E+01  3.775405E-01  2.302273E-01  1.534098E+00  3.261393E+00  
65    -2.665230E-02  7.882419E-01  3.717438E+00  1.662177E+01  3.775405E-01  2.302273E-01  1.534098E+00  3.421263E+00  
66    -2.665230E-02  8.814783E-01  3.717438E+00  1.324839E+01  3.775405E-01  2.302273E-01  1.682959E+00  3.421263E+00  
67    -2.665230E-02  8.814783E-01  3.508037E+00  1.324839E+01  3.775405E-01  2.302273E-01  1.682959E+00  3.421263E+00  
68    -2.665230E-02  8.814783E-01  3.508037E+00  1.140895E+01  3.775405E-01  2.302273E-01  1.682959E+00  3.421263E+00  
69    -2.665230E-02  8.814783E-01  3.508037E+00  1.104249E+01  3.775405E-01  2.302273E-01  1.682959E+00  3.421263E+00  
70    -2.665230E-02  8.814783E-01  3.508037E+00  1.104249E+01  3.775405E-01  2.708525E-01  1.819228E+00  3.421263E+00  
71    -2.665230E-02  7.580190E-01  3.508037E+00  1.104249E+01  3.775405E-01  2.708525E-01  1.819228E+00  3.421263E+00  
72    -2.665230E-02  7.580190E-01  3.508037E+00  1.104249E+01  3.775405E-01  2.708525E-01  1.834466E+00  3.421263E+00  
73    -2.665230E-02  9.105412E-01  3.508037E+00  1.104249E+01  3.775405E-01  2.708525E-01  1.834466E+00  3.421263E+00  
74    -2.665230E-02  9.105412E-01  3.508037E+00  1.104249E+01  3.981199E-01  2.708525E-01  1.834466E+00  3.421263E+00  
75    -2.665230E-02  9.105412E-01  3.508037E+00  1.104249E+01  3.981199E-01  2.902737E-01  1.834466E+00  3.421263E+00  
76    -2.665230E-02  9.105412E-01  3.508037E+00  1.104249E+01  3.981199E-01  3.238584E-01  1.834466E+00  3.380074E+00  
77    -2.665230E-02  9.105412E-01  3.436003E+00  1.104249E+01  3.981199E-01  3.238584E-01  1.834466E+00  3.380074E+00  
78    -2.665230E-02  9.105412E-01  3.436003E+00  1.104249E+01  3.981199E-01  4.411300E-01  1.834466E+00  3.380074E+00  
79    -2.665230E-02  9.105412E-01  3.436003E+00  1.104249E+01  3.981199E-01  5.572759E-01  1.834466E+00  3.380074E+00  
80    -2.665230E-02  9.105412E-01  3.436003E+00  1.250043E+01  3.981199E-01  5.572759E-01  1.834466E+00  3.380074E+00  
81    -2.665230E-02  9.105412E-01  3.436003E+00  1.250043E+01  3.981199E-01  5.202493E-01  1.834466E+00  3.380074E+00  
82    -2.665230E-02  9.105412E-01  3.436003E+00  9.983517E+00  3.981199E-01  5.202493E-01  1.834466E+00  3.380074E+00  
83    -2.665230E-02  9.105412E-01  3.869166E+00  9.983517E+00  3.981199E-01  5.202493E-01  1.834466E+00  3.380074E+00  
84    -2.665230E-02  9.105412E-01  3.869166E+00  9.983517E+00  3.981199E-01  4.344390E-01  1.834466E+00  3.380074E+00  
85    -2.665230E-02  9.105412E-01  3.646930E+00  9.983517E+00  3.981199E-01  4.344390E-01  1.834466E+00  3.380074E+00  
86    -2.665230E-02  7.899820E-01  3.646930E+00  9.983517E+00  3.981199E-01  4.344390E-01  1.834466E+00  3.380074E+00  
87    -2.665230E-02  7.899820E-01  3.646930E+00  9.983517E+00  3.981199E-01  4.130461E-01  1.834466E+00  3.380074E+00  
88    -2.665230E-02  7.899820E-01  3.646930E+00  9.983517E+00  3.981199E-01  4.680065E-01  1.834466E+00  3.380074E+00  
89    -2.665230E-02  7.899820E-01  3.646930E+00  1.198631E+01  3.981199E-01  4.680065E-01  1.834466E+00  3.380074E+00  
90    -2.665230E-02  7.899820E-01  3.646930E+00  7.327765E+00  3.981199E-01  4.680065E-01  1.834466E+00  3.380074E+00  
91    -2.665230E-02  7.899820E-01  3.646930E+00  7.327765E+00  4.539062E-01  4.680065E-01  1.834466E+00  3.380074E+00  
92    -2.665230E-02  7.899820E-01  3.646930E+00  7.327765E+00  4.539062E-01  4.680065E-01  1.834466E+00  3.397565E+00  
93    -2.665230E-02  7.899820E-01  3.646930E+00  7.327765E+00  4.539062E-01  4.680065E-01  1.779684E+00  3.397565E+00  
94    -2.665230E-02  7.899820E-01  3.646930E+00  7.327765E+00  4.539062E-01  4.680065E-01  2.671936E+00  3.397565E+00  
95    -2.665230E-02  7.899820E-01  3.646930E+00  7.327765E+00  4.539062E-01  4.680065E-01  2.671936E+00  3.205467E+00  
96    -2.665230E-02  7.899820E-01  3.646930E+00  7.327765E+00  4.582552E-01  4.680065E-01  2.671936E+00  3.205467E+00  
97    -2.665230E-02  7.899820E-01  3.646930E+00  7.327765E+00  4.582552E-01  4.680065E-01  2.671936E+00  2.774133E+00  
98    -2.665230E-02  7.899820E-01  3.646930E+00  7.327765E+00  4.582552E-01  4.680065E-01  1.866831E+00  2.774133E+00  
99    -2.665230E-02  7.615027E-01  3.646930E+00  7.327765E+00  4.582552E-01  4.680065E-01  1.866831E+00  2.774133E+00  
100   -2.665230E-02  7.615027E-01  3.646930E+00  7.606295E+00  4.582552E-01  4.680065E-01  1.866831E+00  2.774133E+00  
101   -2.665230E-02  7.615027E-01  3.646930E+00  7.606295E+00  4.582552E-01  4.680065E-01  1.866831E+00  2.774133E+00  
